 number_of_ancestors | child_occurences 
                 541 |                2
                 542 |                3
                 543 |                6
                 544 |                1
                 545 |                6
                 547 |                2
                 548 |                8
                 553 |                1
                 554 |                6
                 559 |                1
                 560 |                6
                 562 |                7
                 563 |               33
                 565 |                2
                 566 |                8
                 568 |                4
                 569 |               23
                 571 |                2
                 572 |                2
                 574 |                1
                 575 |                5
                 583 |                1
                 584 |                4
                 586 |                1
                 587 |                6
                 589 |                2
                 590 |               15
                 591 |               18
                 592 |               14
                 593 |               81
                 594 |                2
                 595 |                2
                 596 |                2
                 598 |                1
                 599 |                4
                 604 |                2
                 605 |               10
                 614 |                3
                 615 |               15
                 619 |                1
                 620 |                4
                 622 |               14
                 623 |               83
                 625 |                3
                 626 |                3
                 638 |                4
                 639 |               23
                 641 |                1
                 642 |                1
                 646 |                5
                 647 |               27
                 649 |                1
                 650 |                1
                 654 |                3
                 655 |               26
                 656 |               66
                 657 |                1
                 658 |                1
                 670 |                5
                 671 |               30
                 673 |                4
                 674 |               14
                 676 |                1
                 677 |                1
                 678 |                2
                 679 |               11
                 680 |                4
                 682 |                8
                 683 |               47
                 685 |                1
                 686 |                2
                 687 |                6
                 688 |                1
                 689 |                5
                 691 |                3
                 692 |               12
                 694 |                1
                 695 |                6
                 700 |                1
                 701 |                6
                 702 |                1
                 703 |                7
                 704 |                1
                 706 |                8
                 707 |               46
                 710 |                1
                 711 |                6
                 718 |                6
                 719 |               35
                 721 |                2
                 722 |                2
                 730 |                2
                 731 |               11
                 733 |                1
                 734 |                6
                 738 |                1
                 739 |                7
                 740 |                6
                 742 |                5
                 743 |               28
                 745 |                1
                 746 |                1
                 750 |                3
                 751 |               17
                 760 |                2
                 761 |               12
                 763 |                1
                 764 |                1
                 766 |                3
                 767 |               17
                 772 |                1
                 773 |                5
                 774 |                2
                 775 |               10
                 778 |                7
                 779 |               40
                 781 |                3
                 782 |               12
                 784 |                1
                 785 |                1
                 786 |                2
                 787 |               13
                 788 |                6
                 790 |               13
                 791 |               72
                 793 |                2
                 794 |                2
                 796 |                1
                 797 |                6
                 799 |                1
                 800 |                1
                 808 |                1
                 809 |                6
                 814 |                1
                 815 |                5
                 817 |                3
                 818 |               12
                 830 |                4
                 831 |               23
                 835 |                1
                 836 |                4
                 838 |                2
                 839 |               11
                 844 |                3
                 845 |               16
                 847 |                1
                 848 |                1
                 862 |                1
                 863 |                5
                 874 |               12
                 875 |               67
                 877 |                2
                 878 |                3
                 879 |                6
                 880 |                1
                 881 |                7
                 882 |                1
                 883 |                8
                 884 |               46
                 886 |                2
                 887 |                7
                 889 |                2
                 890 |                6
                 894 |                2
                 895 |               11
                 897 |                1
                 898 |                1
                 907 |                2
                 908 |               10
                 910 |                6
                 911 |               33
                 913 |                2
                 914 |                2
                 919 |                1
                 920 |                4
                 922 |                3
                 923 |               17
                 934 |                5
                 935 |               29
                 937 |                1
                 938 |                4
                 939 |               16
                 943 |                4
                 944 |               21
                 958 |                3
                 959 |               18
                 961 |                2
                 962 |                2
                 970 |                3
                 971 |               17
                 973 |                1
                 974 |                1
                 983 |                2
                 984 |               12
                 988 |                9
                 989 |               50
                 990 |                4
                 991 |               23
                 992 |                1
                1006 |                2
                1007 |               12
                1009 |                1
                1010 |                1
                1014 |                1
